mes,nombre_mes,trimestre,canal,region,campana,inversion,ingresos,visitas,clientes_nuevos,ticket_promedio,tasa_conversion,roas,satisfaccion
2025-01,Ene,T1,Instagram,Bogotá,Regreso a clases,14791921.0,62604056.0,24714,657,95244.0,2.66,4.23,4.42
2025-01,Ene,T1,Instagram,Medellín,Regreso a clases,11524187.0,45271939.0,18665,372,121646.0,1.99,3.93,4.12
2025-01,Ene,T1,Instagram,Cali,Regreso a clases,9036021.0,39605676.0,16313,337,117230.0,2.07,4.38,4.26
2025-01,Ene,T1,Instagram,Costa,Regreso a clases,7928768.0,30747265.0,12012,246,124579.0,2.05,3.88,3.72
2025-01,Ene,T1,TikTok,Bogotá,Regreso a clases,13977723.0,52572200.0,43938,589,89213.0,1.34,3.76,4.12
2025-01,Ene,T1,TikTok,Medellín,Regreso a clases,14663843.0,44105118.0,44824,407,108178.0,0.91,3.01,3.96
2025-01,Ene,T1,TikTok,Cali,Regreso a clases,6544813.0,27117135.0,14285,265,102007.0,1.86,4.14,3.59
2025-01,Ene,T1,TikTok,Costa,Regreso a clases,9039087.0,28152622.0,20279,325,86511.0,1.6,3.11,4.21
2025-01,Ene,T1,Google Ads,Bogotá,Regreso a clases,14721428.0,50856750.0,10747,406,125090.0,3.78,3.45,4.31
2025-01,Ene,T1,Google Ads,Medellín,Regreso a clases,7332827.0,36670869.0,6913,292,125210.0,4.22,5.0,5.0
2025-01,Ene,T1,Google Ads,Cali,Regreso a clases,7418525.0,31565147.0,6893,248,127034.0,3.6,4.25,3.95
2025-01,Ene,T1,Google Ads,Costa,Regreso a clases,6609696.0,24061024.0,4656,173,138406.0,3.72,3.64,3.91
2025-01,Ene,T1,Email,Bogotá,Regreso a clases,2797162.0,25030050.0,3309,173,144381.0,5.23,8.95,4.08
2025-01,Ene,T1,Email,Medellín,Regreso a clases,2305153.0,21146733.0,2484,132,159085.0,5.31,9.17,4.46
2025-01,Ene,T1,Email,Cali,Regreso a clases,1401922.0,12779480.0,1239,69,183054.0,5.57,9.12,4.79
2025-01,Ene,T1,Email,Costa,Regreso a clases,1465871.0,13802437.0,1472,93,148175.0,6.32,9.42,4.34
2025-01,Ene,T1,Punto de venta,Bogotá,Regreso a clases,15657596.0,90884619.0,5481,520,174688.0,9.49,5.8,4.73
2025-01,Ene,T1,Punto de venta,Medellín,Regreso a clases,8395390.0,48985134.0,3181,285,171648.0,8.96,5.83,4.84
2025-01,Ene,T1,Punto de venta,Cali,Regreso a clases,9059280.0,46416159.0,3459,304,152337.0,8.79,5.12,4.64
2025-01,Ene,T1,Punto de venta,Costa,Regreso a clases,7618250.0,45631064.0,2895,257,177008.0,8.88,5.99,4.23
2025-02,Feb,T1,Instagram,Bogotá,Regreso a clases,13531929.0,55269954.0,21815,427,129367.0,1.96,4.08,4.69
2025-02,Feb,T1,Instagram,Medellín,Regreso a clases,11542007.0,47091077.0,16514,379,124207.0,2.3,4.08,4.6
2025-02,Feb,T1,Instagram,Cali,Regreso a clases,12085651.0,34342259.0,15468,287,119377.0,1.86,2.84,4.19
